time,open,high,low,close
1106604000,2.3045,2.3196,2.2943,2.304
1106690400,2.304,2.3262,2.302,2.3197
1106776800,2.3197,2.3414,2.3177,2.3384
1106863200,2.3384,2.3455,2.3314,2.33905
1107122400,2.33955,2.3437,2.3262,2.3346
1107208800,2.3346,2.3398,2.3235,2.3294
1107295200,2.3294,2.3395,2.3189,2.3356
1107381600,2.3356,2.344,2.3307,2.3352
1107468000,2.3352,2.3571,2.3315,2.34415
1107727200,2.34165,2.3491,2.3302,2.3313
1107813600,2.3313,2.3348,2.3109,2.3124
1107900000,2.3124,2.3282,2.3124,2.3185
1107986400,2.3185,2.3296,2.3171,2.3214
1108072800,2.3214,2.3244,2.3069,2.31015
1108332000,2.31015,2.3376,2.30785,2.3277
1108418400,2.3277,2.3376,2.3241,2.3342
1108504800,2.3342,2.3382,2.3167,2.3323
1108591200,2.3323,2.3361,2.3222,2.3312
1108677600,2.3312,2.33665,2.326,2.33265
1108936800,2.33265,2.3431,2.3263,2.3396
1109023200,2.3396,2.3509,2.3315,2.3424
1109109600,2.3424,2.3803,2.34,2.3766
1109196000,2.3766,2.3842,2.3643,2.3658
1109282400,2.3658,2.3807,2.364,2.37735
1109541600,2.37735,2.38075,2.3614,2.3703
1109628000,2.3703,2.3889,2.3656,2.3841
1109714400,2.3841,2.3867,2.368,2.3711
1109800800,2.3711,2.3834,2.3669,2.3719
1109887200,2.3719,2.3781,2.3648,2.36815
1110146400,2.36815,2.37225,2.352,2.3539
1110232800,2.3539,2.3625,2.3386,2.3399
1110319200,2.3399,2.3421,2.3124,2.324
1110405600,2.324,2.324,2.3094,2.3169
1110492000,2.3169,2.3307,2.3086,2.32345
1110751200,2.32195,2.32205,2.3038,2.3102
1110837600,2.3102,2.3187,2.3016,2.30955
1110924000,2.30955,2.3225,2.30735,2.3205
1111010400,2.3205,2.325,2.3033,2.3127
1111096800,2.3127,2.315,2.3046,2.31145
1111356000,2.31145,2.3132,2.2943,2.2972
1111442400,2.2972,2.3016,2.2748,2.2798
1111528800,2.2798,2.2887,2.2673,2.2716
1111615200,2.2716,2.2831,2.2686,2.2688
1111701600,2.2688,2.27875,2.26805,2.27875
1111960800,2.27875,2.2864,2.2682,2.2746
1112047200,2.2746,2.2759,2.2662,2.2685
1112133600,2.2685,2.2948,2.2655,2.2856
1112220000,2.2856,2.292,2.2792,2.2883
1112306400,2.2883,2.2954,2.2819,2.28555
1112562000,2.28555,2.2924,2.2809,2.2919
1112648400,2.2919,2.2976,2.2863,2.291
1112734800,2.291,2.30025,2.2888,2.2989
1112821200,2.2989,2.301,2.2843,2.2865
1112907600,2.2865,2.31805,2.2842,2.31725
1113166800,2.31625,2.3396,2.3093,2.3324
1113253200,2.3324,2.3431,2.3262,2.3419
1113339600,2.3419,2.3465,2.3337,2.3458
1113426000,2.3458,2.346,2.3312,2.3365
1113512400,2.3365,2.3602,2.33215,2.35945
1113771600,2.35945,2.3806,2.3545,2.3756
1113858000,2.3756,2.3874,2.3703,2.3731
1113944400,2.3731,2.3845,2.3654,2.384
1114030800,2.384,2.3852,2.3591,2.3651
1114117200,2.3651,2.3713,2.3599,2.36395
1114376400,2.36175,2.3716,2.36155,2.36445
1114462800,2.36445,2.3771,2.3598,2.37305
1114549200,2.37305,2.3842,2.3661,2.38055
1114635600,2.38055,2.3915,2.3767,2.3867
1114722000,2.3867,2.4073,2.3841,2.40165
1114981200,2.40165,2.4077,2.3736,2.37625
1115067600,2.37625,2.38315,2.36745,2.36915
1115154000,2.36915,2.3803,2.3672,2.37
1115240400,2.37,2.3763,2.3672,2.37485
1115326800,2.37485,2.37485,2.3439,2.34925
1115586000,2.34925,2.3507,2.3286,2.3319
1115672400,2.3319,2.3353,2.3227,2.3278
1115758800,2.3278,2.35,2.3271,2.3378
1115845200,2.3378,2.3388,2.3264,2.3334
1115931600,2.3334,2.3428,2.3248,2.34155
1116190800,2.34185,2.3445,2.3285,2.3334
1116277200,2.3334,2.339,2.3193,2.3196
1116363600,2.3196,2.3244,2.3124,2.3177
1116450000,2.3177,2.3243,2.3085,2.3117
1116536400,2.3117,2.31565,2.3029,2.31325
1116795600,2.31255,2.31255,2.2978,2.3031
1116882000,2.3031,2.3147,2.3003,2.3016
1116968400,2.3016,2.3184,2.2998,2.3157
1117054800,2.3157,2.3171,2.3047,2.3057
1117141200,2.3057,2.3117,2.2829,2.28805
1117400400,2.29275,2.2956,2.2878,2.2906
1117486800,2.2906,2.2991,2.2769,2.2803
1117573200,2.2803,2.2851,2.2569,2.2588
1117659600,2.2588,2.2775,2.2555,2.2669
1117746000,2.2669,2.2734,2.2572,2.26365
1118005200,2.26225,2.2734,2.26135,2.2706
1118091600,2.2706,2.2901,2.2663,2.2864
1118178000,2.2864,2.2936,2.2783,2.2805
1118264400,2.2805,2.293,2.2798,2.2886
1118350800,2.2886,2.2953,2.2613,2.26875
1118610000,2.26685,2.2724,2.2631,2.268
1118696400,2.268,2.2758,2.2612,2.2623
1118782800,2.2623,2.2667,2.2471,2.2533
1118869200,2.2533,2.2627,2.2497,2.2524
1118955600,2.2524,2.2615,2.2478,2.25075
1119214800,2.2479,2.2554,2.2427,2.2542
1119301200,2.2542,2.2592,2.2431,2.2536
1119387600,2.2536,2.2611,2.2427,2.2493
1119474000,2.2493,2.2557,2.235,2.2372
1119560400,2.2372,2.25115,2.23425,2.25105
1119819600,2.25105,2.2664,2.2432,2.2497
1119906000,2.2497,2.254,2.2322,2.2363
1119992400,2.2363,2.2406,2.2081,2.2189
1120078800,2.2189,2.226,2.1937,2.1949
1120165200,2.1949,2.2016,2.1786,2.19575
