time,open,high,low,close
1744837200,0.8219,0.82768,0.81926,0.82618
1744923600,0.82612,0.82747,0.821,0.82196
1745182800,0.82196,0.83175,0.82152,0.83061
1745269200,0.83095,0.83176,0.8235,0.82385
1745355600,0.82384,0.8319,0.82251,0.82513
1745442000,0.82503,0.83197,0.8242,0.83094
1745528400,0.83087,0.83158,0.82488,0.82643
1745787600,0.82738,0.82778,0.82333,0.82683
1745874000,0.82683,0.82728,0.82002,0.82024
1745960400,0.82042,0.82224,0.81688,0.81856
1746046800,0.81856,0.8203,0.81542,0.81818
1746133200,0.8182,0.82362,0.81745,0.82171
1746392400,0.81984,0.82796,0.81984,0.825
1746478800,0.82502,0.828,0.82257,0.82734
1746565200,0.82742,0.82955,0.82104,0.82212
1746651600,0.82193,0.82578,0.82064,0.82219
1746738000,0.82191,0.82476,0.81846,0.82344
1746997200,0.82365,0.8267,0.81806,0.8184
1747083600,0.81865,0.82936,0.81769,0.82744
1747170000,0.82734,0.83034,0.82369,0.82462
1747256400,0.82458,0.82589,0.81964,0.82041
1747342800,0.82048,0.82539,0.81859,0.82164
1747602000,0.8227,0.82763,0.82081,0.82732
1747688400,0.8273,0.82778,0.82142,0.82454
1747774800,0.824,0.8268,0.82228,0.82294
1747861200,0.82295,0.82426,0.81696,0.81726
1747947600,0.81727,0.82401,0.8167,0.82224
1748206800,0.82202,0.82614,0.82139,0.82406
1748293200,0.82398,0.82472,0.81771,0.82153
1748379600,0.82188,0.82642,0.81898,0.82578
1748466000,0.82533,0.82662,0.82078,0.82386
1748552400,0.82404,0.8267,0.81907,0.81933
1748811600,0.8196,0.8283,0.81897,0.8279
1748898000,0.82769,0.8306,0.82241,0.823
1748984400,0.82292,0.82544,0.82214,0.82412
1749070800,0.8248,0.82928,0.82364,0.8252
1749157200,0.82558,0.8265,0.82235,0.82382
1749416400,0.82382,0.8293,0.82358,0.82838
1749502800,0.82846,0.82989,0.82604,0.82723
1749589200,0.82723,0.8284,0.82329,0.82408
1749675600,0.82413,0.82687,0.8211,0.82526
1749762000,0.82548,0.82607,0.81703,0.81711
1750021200,0.81657,0.82452,0.81617,0.82223
1750107600,0.82233,0.82478,0.81973,0.82254
1750194000,0.82254,0.82764,0.82176,0.82542
1750280400,0.82542,0.82595,0.81842,0.82092
1750366800,0.8209,0.82292,0.81907,0.81931
1750626000,0.81836,0.82131,0.81144,0.82086
1750712400,0.81916,0.82804,0.81903,0.82436
1750798800,0.82428,0.82916,0.82309,0.82882
1750885200,0.82872,0.8312,0.82596,0.82624
1750971600,0.82627,0.83159,0.82589,0.82872
1751230800,0.82944,0.83168,0.82756,0.8296
